compound, constituent, anonymized_annotator_id, rating
body weight, body, annotator_0, 5
body weight, weight, annotator_1, 5
body weight, weight, annotator_2, 5
body weight, weight, annotator_3, 5
body weight, weight, annotator_4, 4
body weight, weight, annotator_5, 4
body weight, weight, annotator_6, 5
body weight, weight, annotator_7, 5
body weight, weight, annotator_0, 5
body weight, weight, annotator_8, 5
body weight, weight, annotator_9, 4
body weight, weight, annotator_10_excluded, 5
body weight, weight, annotator_11, 5
body weight, weight, annotator_12, 4
body weight, weight, annotator_13_excluded, 5
body weight, weight, annotator_14, 5
body weight, body, annotator_1, 5
body weight, body, annotator_10_excluded, 5
body weight, body, annotator_13_excluded, 5
body weight, body, annotator_2, 5
body weight, body, annotator_6, 4
body weight, body, annotator_3, 5
body weight, body, annotator_14, 5
body weight, body, annotator_7, 5
body weight, body, annotator_5, 3
body weight, body, annotator_9, 5
body weight, body, annotator_12, 4
body weight, body, annotator_4, 1
body weight, body, annotator_11, 3
body weight, body, annotator_8, 5
brass cylinder, cylinder, annotator_13_excluded, 5
brass cylinder, cylinder, annotator_4, 4
brass cylinder, cylinder, annotator_12, 4
brass cylinder, cylinder, annotator_10_excluded, 5
brass cylinder, cylinder, annotator_9, 3
brass cylinder, cylinder, annotator_1, 3
brass cylinder, cylinder, annotator_5, 5
brass cylinder, cylinder, annotator_14, 5
brass cylinder, cylinder, annotator_8, 5
brass cylinder, cylinder, annotator_6, 3
brass cylinder, cylinder, annotator_11, 3
brass cylinder, cylinder, annotator_7, 4
brass cylinder, cylinder, annotator_3, 5
brass cylinder, cylinder, annotator_2, 5
brass cylinder, cylinder, annotator_0, 5
brass cylinder, brass, annotator_13_excluded, 5
brass cylinder, brass, annotator_9, 3
brass cylinder, brass, annotator_14, 5
brass cylinder, brass, annotator_4, 4
brass cylinder, brass, annotator_1, 3
brass cylinder, brass, annotator_3, 5
brass cylinder, brass, annotator_7, 4
brass cylinder, brass, annotator_6, 3
brass cylinder, brass, annotator_5, 5
brass cylinder, brass, annotator_8, 5
brass cylinder, brass, annotator_12, 2
brass cylinder, brass, annotator_2, 5
brass cylinder, brass, annotator_10_excluded, 5
brass cylinder, brass, annotator_11, 3
brass cylinder, brass, annotator_0, 5
brass scale, scale, annotator_7, 3
brass scale, brass, annotator_8, 5
brass scale, brass, annotator_6, 2
brass scale, scale, annotator_0, 5
brass scale, scale, annotator_9, 4
brass scale, brass, annotator_7, 2
brass scale, scale, annotator_3, 5
brass scale, brass, annotator_4, 1
brass scale, scale, annotator_13_excluded, 5
brass scale, brass, annotator_10_excluded, 5
brass scale, scale, annotator_11, 3
brass scale, brass, annotator_1, 4
brass scale, scale, annotator_2, 3
brass scale, brass, annotator_14, 5
brass scale, scale, annotator_6, 3
brass scale, scale, annotator_12, 4
brass scale, brass, annotator_5, 4
brass scale, scale, annotator_5, 4
brass scale, scale, annotator_14, 5
brass scale, scale, annotator_8, 5
brass scale, brass, annotator_13_excluded, 5
brass scale, brass, annotator_9, 3
brass scale, brass, annotator_12, 3
brass scale, scale, annotator_10_excluded, 4
brass scale, scale, annotator_1, 4
brass scale, brass, annotator_3, 5
brass scale, brass, annotator_0, 5
brass scale, brass, annotator_2, 5
brass scale, scale, annotator_4, 4
brass scale, brass, annotator_11, 5
candle power, candle, annotator_1, 4
candle power, power, annotator_9, 5
candle power, candle, annotator_12, 3
candle power, candle, annotator_7, 5
candle power, candle, annotator_2, 5
candle power, candle, annotator_6, 4
candle power, candle, annotator_13_excluded, 5
candle power, candle, annotator_10_excluded, 5
candle power, candle, annotator_4, 4
candle power, candle, annotator_11, 2
candle power, candle, annotator_5, 5
candle power, candle, annotator_9, 3
candle power, candle, annotator_0, 5
candle power, candle, annotator_3, 1
candle power, candle, annotator_8, 5
candle power, candle, annotator_14, 1
candle power, power, annotator_0, 4
candle power, power, annotator_3, 5
candle power, power, annotator_6, 2
candle power, power, annotator_10_excluded, 5
candle power, power, annotator_14, 4
candle power, power, annotator_11, 2
candle power, power, annotator_8, 5
candle power, power, annotator_5, 0
candle power, power, annotator_4, 1
candle power, power, annotator_1, 2
candle power, power, annotator_13_excluded, 5
candle power, power, annotator_12, 1
candle power, power, annotator_2, 4
candle power, power, annotator_7, 3
flash spectrum, spectrum, annotator_1, 3
flash spectrum, spectrum, annotator_3, 5
flash spectrum, spectrum, annotator_2, 4
flash spectrum, spectrum, annotator_13_excluded, 5
flash spectrum, spectrum, annotator_12, 4
flash spectrum, spectrum, annotator_10_excluded, 5
flash spectrum, spectrum, annotator_7, 4
flash spectrum, flash, annotator_8, 5
flash spectrum, spectrum, annotator_11, 1
flash spectrum, flash, annotator_10_excluded, 5
flash spectrum, flash, annotator_9, 2
flash spectrum, flash, annotator_7, 5
flash spectrum, flash, annotator_5, 1
flash spectrum, spectrum, annotator_4, 0
flash spectrum, flash, annotator_13_excluded, 5
flash spectrum, flash, annotator_2, 4
flash spectrum, flash, annotator_3, 4
flash spectrum, flash, annotator_11, 3
flash spectrum, flash, annotator_12, 3
flash spectrum, flash, annotator_6, 2
flash spectrum, flash, annotator_4, 0
flash spectrum, flash, annotator_0, 5
flash spectrum, flash, annotator_1, 3
flash spectrum, flash, annotator_14, 2
flash spectrum, spectrum, annotator_0, 3
flash spectrum, spectrum, annotator_8, 5
flash spectrum, spectrum, annotator_9, 4
flash spectrum, spectrum, annotator_14, 3
flash spectrum, spectrum, annotator_6, 2
flash spectrum, spectrum, annotator_5, 0
frequency curve, curve, annotator_5, 2
frequency curve, curve, annotator_8, 5
frequency curve, frequency, annotator_4, 3
frequency curve, curve, annotator_11, 3
frequency curve, frequency, annotator_7, 4
frequency curve, curve, annotator_10_excluded, 5
frequency curve, curve, annotator_1, 3
frequency curve, curve, annotator_0, 5
frequency curve, curve, annotator_2, 5
frequency curve, curve, annotator_12, 3
frequency curve, curve, annotator_7, 3
frequency curve, curve, annotator_9, 3
frequency curve, curve, annotator_14, 3
frequency curve, curve, annotator_6, 2
frequency curve, curve, annotator_3, 4
frequency curve, curve, annotator_13_excluded, 5
frequency curve, frequency, annotator_10_excluded, 5
frequency curve, curve, annotator_4, 3
frequency curve, frequency, annotator_9, 2
frequency curve, frequency, annotator_6, 3
frequency curve, frequency, annotator_12, 3
frequency curve, frequency, annotator_0, 5
frequency curve, frequency, annotator_11, 5
frequency curve, frequency, annotator_13_excluded, 5
frequency curve, frequency, annotator_14, 3
frequency curve, frequency, annotator_2, 5
frequency curve, frequency, annotator_8, 0
frequency curve, frequency, annotator_1, 4
frequency curve, frequency, annotator_3, 5
frequency curve, frequency, annotator_5, 3
growth period, period, annotator_7, 3
growth period, period, annotator_1, 5
growth period, period, annotator_6, 3
growth period, period, annotator_3, 5
growth period, period, annotator_5, 1
growth period, period, annotator_9, 2
growth period, period, annotator_13_excluded, 5
growth period, period, annotator_12, 3
growth period, period, annotator_4, 1
growth period, period, annotator_14, 3
growth period, period, annotator_11, 1
growth period, period, annotator_10_excluded, 5
growth period, period, annotator_2, 5
growth period, period, annotator_0, 5
growth period, period, annotator_8, 0
growth period, growth, annotator_2, 5
growth period, growth, annotator_8, 5
growth period, growth, annotator_7, 5
growth period, growth, annotator_13_excluded, 5
growth period, growth, annotator_6, 4
growth period, growth, annotator_11, 1
growth period, growth, annotator_1, 5
growth period, growth, annotator_14, 4
growth period, growth, annotator_0, 5
growth period, growth, annotator_9, 5
growth period, growth, annotator_5, 4
growth period, growth, annotator_10_excluded, 5
growth period, growth, annotator_12, 3
growth period, growth, annotator_4, 4
growth period, growth, annotator_3, 5
heart muscle, heart, annotator_0, 5
heart muscle, muscle, annotator_14, 5
heart muscle, heart, annotator_14, 5
heart muscle, muscle, annotator_1, 5
heart muscle, heart, annotator_2, 5
heart muscle, muscle, annotator_3, 5
heart muscle, heart, annotator_5, 4
heart muscle, heart, annotator_1, 5
heart muscle, muscle, annotator_12, 4
heart muscle, muscle, annotator_7, 4
heart muscle, muscle, annotator_11, 5
heart muscle, heart, annotator_12, 3
heart muscle, heart, annotator_10_excluded, 5
heart muscle, muscle, annotator_6, 4
heart muscle, muscle, annotator_9, 4
heart muscle, muscle, annotator_8, 1
heart muscle, heart, annotator_6, 5
heart muscle, heart, annotator_13_excluded, 5
